IM.number,IM.name,IM.details,IM.narrative,IM.funding,youth,fp.rh,peace.security,democracy.humanrights.gov,health,edu.socialservices,eco.growth,human.ass,prog.dev.oversight
50120,Central Contraceptive Procurement (CCP)\n,"\n50120\nImplementing Mechanism Name:\nCentral Contraceptive Procurement (CCP)\nPrime Partner:\nChemonics International, Inc.\nAward Number:\nGPO-1-00-06-000007\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$6,000,000\nStart Date:\n04/20/2015\nEnd Date:\n11/28/2023\nTotal Estimated Cost:\n$25,000,000\n","\nThe Central Contraceptive Procurement (CCP) activity serves as the central procurement mechanism for USAID Missions to purchase high quality contraceptives. CCP utilizes the Field Support system for the transfer, obligation, and disbursement of Population funds for contraceptives. Task Order 3 under the Global Health Supply Chain - Procurement and Supply Management Project (GHSC-PSM), will implement forecasting and quantification, procurement, warehousing, and freight services. With FY 2021 funds, the Mission will continue to procure family planning commodities, including the purchase of contraceptives. The annual needs quantification exercise carried out by the Family Planning (FP) Technical Work Group led by the Central Medical Stores (CMAM) and the FP Program, as technical support from the GHSC-PSM will determine the commodities acquisition levels. GHSC-PSM - TO3 will continue to lead the operationalization of the procurement and transport process of FP products, including injectables (DepoProvera and Sayana Press), implants (Jadelle, Implanon NXT), oral (Microgynon, Microlut). The Mission will leverage funds from the United Nations Population Fund (UNFPA), the Ministry of Health, and other donors to purchase contraceptives.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.7.6 Procurement and Supply Chain (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$6,000,000\n-\n$6,000,000\nTOTAL\n$6,000,000\n-\n$6,000,000\n",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
50232,International Military Education and Training (IMET)\n,"\n50232\nImplementing Mechanism Name:\nInternational Military Education and Training (IMET)\nPrime Partner:\nU.S. Department of State\nAward Number:\nTo be Determined\nImplementing Mechanism Type:\nOther USG Direct\nSource Agency:\nU.S. Department of State\nImplementing Agency:\nU.S. Department of State\nPlanned Funding:\n$447,679\nStart Date:\n10/01/2013\nEnd Date:\n09/30/2023\nTotal Estimated Cost:\n$3,500,000\n","\nInternational Military Education and Training (IMET) funds continue to focus on strengthening maritime security capabilities of the Mozambican Armed Forces (FADM). With FY 2021 funds, select FADM members will attend Non-Commissioned Officer (NCO), Captain Career, Boarding Officer, International Maritime Officer, and English instructor development courses to meet FADM 2021/2022 professionalization goals.FY 2021 funding will source at least one Visit, Board, Search, and Seizure (VBSS) Mobile Training Team (MTT). Maintenance training will be beneficial to address problems identifying personnel with sufficient English skills to graduate from training. As the Mozambican Navy fills a Coast Guard role, MTTs focused on small boat patrol operations and maintenance are critical. The Department of Defense/Office of Security Coordination (OSC) continues to support the Navy`s ability to combat the crimes of illegal fishing, trafficking, and other maritime criminal activity that impacts Mozambique security. As FADM tactical capability improves, OSC focus will shift to professional military education and leadership. With coastal Automatic Identification System Radar sites, the Mozambican Navy requires increased support to train officers in patrol operations, watch officer skills, maintenance, planning, and equipment handling. With FY 2021 funds, OSC seeks a seat for Professional Military Education for an Instituto Superior de Estudos de Defesa instructor to support Africa Military Education Program objectives.To help address the issue of violent extremism, OSC will program counterterrorism, law of armed conflict, and human rights courses.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nPS.8.1 Defense and Security Operational Capacity-Building\nIMET\nICS 08/15/2018 4.1\nNot Applicable\n$447,679\n-\n$447,679\nTOTAL\n$447,679\n-\n$447,679\n",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
50366,IMaP – Integrated Malaria Project\n,"\n50366\nImplementing Mechanism Name:\nIMaP – Integrated Malaria Project\nPrime Partner:\nChemonics International, Inc.\nAward Number:\n72065618C00001\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$3,381,254\nStart Date:\n10/31/2017\nEnd Date:\n10/30/2022\nTotal Estimated Cost:\n$23,797,392\n","\nThe Integrated Malaria Project (IMaP) will continue to strengthen the capacity of Ministry of Health (MOH) management and service providers at provincial, district, and community levels through supervision and training on case management, program management, malaria in pregnancy, monitoring and evaluation (M&E), and social and behavior change (SBC). This award also supports system strengthening activities to improve reporting, data quality and service delivery. Implementation of activities is co-led by the Government of Mozambique (GRM) and carried out in coordination with other donors (the Global Fund to Fight AIDS, Tuberculosis, and Malaria, and the Gates Foundation). With FY 2021 funds, IMaP will strengthen GRM capacity to take ownership and lead the associated activities to support program transfer and sustainability in Zambézia, Nampula, Tete, and Cabo Delgado Provinces. Case management activities will bolster the malaria laboratory quality assurance at provincial, district and health facility levels. The SBC component will include radio programming, interpersonal communication activities through Community Based Organizations and will also support activities related to capacity-building of community structures for malaria SBC. The M&E component will include strengthening the health management information system at the provincial, district, and health facility levels to improve data quality and decision-making by the GRM. Overall, these activities will contribute to improved quality and coverage of evidence-based malaria prevention and control interventions.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.1 Diagnosis and Treatment with Artemisinin-Based Combination Therapies\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,576,254\n-\n$1,576,254\nHL.3.4 Intermittent Preventive Treatment of Pregnant Women\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$450,000\n-\n$450,000\nHL.3.9 Host Country Strategic Information Systems (Malaria)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,355,000\n-\n$1,355,000\nTOTAL\n$3,381,254\n-\n$3,381,254\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
50367,UNICEF Umbrella Grant II\n,"\n50367\nImplementing Mechanism Name:\nUNICEF Umbrella Grant II\nPrime Partner:\nUnicef\nAward Number:\n7200GH21IO00004\nImplementing Mechanism Type:\nContributions to International Organizations\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$1,110,000\nStart Date:\n04/27/2021\nEnd Date:\n04/26/2026\nTotal Estimated Cost:\n$5,567,000\n","\nWith FY 2021 funds, the UNICEF Umbrella Grant mechanism will focus on implementing a pilot to simplify the approach for Acute Malnutrition (AM) treatment. Due largely to funding gaps, there is an acute shortage for nutrition commodities - namely Ready-to-Use Therapeutic Food (RUTF) and Ready-to-Use Supplementary Food (RUSF) - for nutrition rehabilitation in children under age five suffering from AM. As a result, the Mozambican Government requested partners to support its rehabilitation programs. In response to this request, UNICEF will conduct a 24 month pilot in two non-emergency districts in the Central/North region to test the effectiveness of simplified alternative treatment protocols for Severe Acute Malnutrition (SAM) & Moderate Acute Malnutrition (MAM), to inform a more efficient and sustainable protocol for the government-owned nutritional rehabilitation Program (PRN). This pilot will produce results leading to more lives saved for less cost, greater community awareness, and empowerment for prevention and treatment of malnutrition.In addition, UNICEF will provide support to the promising m-Health-based mobile application, UpScale. The Government embraced UpScale as the solution for the chronic data gaps at the community level with its community health cadre. UNICEF will work with the National Program of Community Health Workers (APEs), the nutrition department, key stakeholders in nutrition and UpScale, and USAID/Mozambique to improve community data systems for nutrition and reduce missed opportunities and timely quality nutrition services among children under five, pregnant women and adolescent girls.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.9.2 Population-based Nutrition Service Delivery\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,110,000\n-\n$1,110,000\nTOTAL\n$1,110,000\n-\n$1,110,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
54747,Centers for Disease Control and Prevention IAA Agreement II\n,"\n54747\nImplementing Mechanism Name:\nCenters for Disease Control and Prevention IAA Agreement II\nPrime Partner:\nCenters For Disease Control and Prevention\nAward Number:\nAID-GH-T-15-00002\nImplementing Mechanism Type:\nOther USG Direct\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Department of Health and Human Services/Centers for Disease Control and Prevention\nPlanned Funding:\n$675,000\nStart Date:\n10/01/2015\nEnd Date:\n09/30/2023\nTotal Estimated Cost:\n$6,380,830\n","\nUsing FY 2021 funding, this mechanism will continue to support a President’s Malaria Initiative (PMI) Technical Advisor from the Centers for Disease Control and Prevention (CDC) to provide technical expertise to PMI/Mozambique to develop malaria prevention and control policies, implement PMI program interventions, design and implement monitoring and evaluation activities, conduct operations research, provide training and mentoring to local staff within USAID and local counterparts, write protocols, and translate research and evaluation findings into strategies and practices for malaria prevention and control. The CDC PMI Advisor collaborates with the Ministry of Health (MOH) and other local, national, and international partners to ensure that PMI activities are aligned with global recommendations. The Advisor also complements and strengthens ongoing malaria prevention and control activities. The CDC PMI Advisor identifies and oversees short-term CDC technical assistance for in-country PMI activities. Additionally, this mechanism provides support for two, second year FETP residents for one year and for one TDY visit from CDC entomology branch to provide technical assistance to PMI entomological monitoring efforts and to help build MoH entomological monitoring capacity.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.9 Host Country Strategic Information Systems (Malaria)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$675,000\n-\n$675,000\nTOTAL\n$675,000\n-\n$675,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
100186,GHSC - Global Health Supply Chain - Procurement and Supply Management (PSM) Project TO4\n,"\n100186\nImplementing Mechanism Name:\nGHSC - Global Health Supply Chain - Procurement and Supply Management (PSM) Project TO4\nPrime Partner:\nChemonics International, Inc.\nAward Number:\nOAA-TO-16-00018\nImplementing Mechanism Type:\nDirect Contracts\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$1,640,000\nStart Date:\n09/16/2016\nEnd Date:\n11/28/2023\nTotal Estimated Cost:\n$12,500,000\n","\nThe Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) activity increases the availability of essential health supplies by strengthening supply chains, commodity procurement, and creating more supportive environments for commodity security. The activity supports research, assessments, analyses, procurement of commodities, and capacity building to ensure that Mozambique’s supply chain is able to meet the basic health commodity requirements of its public health programs. Activities include product selection, forecasting, financing, supply plans, procurement, distribution, inventory management, storage, logistics management, information systems, and disposal of medical waste.Using FY 2021 funds, the activity will focus on end-to-end supply chain strengthening for maternal and child health and nutrition. This includes procurement of essential commodities and equipment for maternal and child health, such as Chlorhexidine, Gentamicin, Zinc Sulfate + oral rehydration salts, autoclaves and other commodities and equipment prioritized during periodic quantification exercises. Activities will include technical assistance for Maternal and Child Health (MCH) medical material and equipment management. Nutrition funds will be utilized for the above-mentioned activities that support the supply chain for nutrition commodities and will support dedicated provincial support through the Nutrition Commodities Advisor in Nampula province. At the central level, the activity will support end-to-end data visibility, including integration of nutrition commodities into the logistics management information systems, and data availability, quality, and use for informed decision-making at central and provincial levels. MCH and nutrition resources in these areas will improve the management of commodities throughout the system and provide extra resources to support maternal and child health and nutrition objectives in the USAID target provinces.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.6.8 Cross-cutting Health Systems Strengthening\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,440,000\n-\n$1,440,000\nHL.9.4 Cross-cutting Health Systems Strengthening (Nutrition)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$200,000\n-\n$200,000\nTOTAL\n$1,640,000\n-\n$1,640,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
100249,"Supporting Malaria and Maternal, Newborn and Child Health Research\n","\n100249\nImplementing Mechanism Name:\nSupporting Malaria and Maternal, Newborn and Child Health Research\nPrime Partner:\nTo be Determined –Not in SAM, Centro de Investigação de Saúde da Manhiça (CISM)\nAward Number:\n72065621FA00001\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$500,000\nStart Date:\n08/17/2021\nEnd Date:\n08/16/2023\nTotal Estimated Cost:\n$799,912\n","\nResistance of Plasmodium falciparum to antimalarial drugs commonly used to treat uncomplicated malaria represents a major obstacle in malaria control. The World Health Organization and the President’s Malaria Initiative recommend regular monitoring of the therapeutic efficacy of the antimalarials used for the treatment of uncomplicated malaria. In Mozambique, the treatment of uncomplicated malaria is based on two artemisinin fixed dose combinations: Artemether-Lumefantrine and Amodiaquine-Artesunate. This activity will use FY 2021 funds to assess the therapeutic efficacy of the two combination therapies employed for the treatment of Plasmodium falciparum uncomplicated malaria cases in Mozambique. The study will be conducted in five sentinel sites, distributed across the three regions of the country. The results of this study will inform the process of defining malaria treatment policies for Mozambique.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.3.6 Malaria Research\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$500,000\n-\n$500,000\nTOTAL\n$500,000\n-\n$500,000\n",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
100264,USAID/Mozambique Program Support\n,"\n100264\nImplementing Mechanism Name:\nUSAID/Mozambique Program Support\nPrime Partner:\nTo be Determined - Unknown\nAward Number:\nTo be Determined\nImplementing Mechanism Type:\nOther USG Direct\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$7,457,000\nStart Date:\n10/01/2016\nEnd Date:\n09/30/2022\nTotal Estimated Cost:\n$25,000,000\n","\nUSAID/Mozambique will use FY 2021 funds for administrative and oversight functions, program design and learning, as well as development outreach communications. Administrative and oversight functions include salaries and benefits of program-funded staff that manage, administer, and support all aspects of the program cycle. Program design, performance management and learning activities include assessments, gender analyses, program evaluations, special studies and analyses, strategic planning, and other information-gathering efforts to support learning, knowledge transfer, and adaptation of programs and activities. With FY 2021 funds, the Mission will also enhance its cooperation and coordination with the Government of Mozambique (GRM) will continue to support activities aimed at accelerating the implementation of our Bilateral Agreement and will also organize joint site visits to Mission activities, and support GRM implementation of the Value Added Tax Decree Law, which will benefit the U.S. Government through VAT exemptions.\n \n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nDR.2.3 Local Government and Decentralization\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$360,000\n$360,000\nHL.2.1 Universal Access to TB Diagnosis and Treatment\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$320,000\n$320,000\nHL.3.1 Diagnosis and Treatment with Artemisinin-Based Combination Therapies\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,515,300\n$1,515,300\nHL.6.1 Birth Preparedness and Maternity Services\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$845,000\n$845,000\nHL.7.1 Service Delivery\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$804,700\n$804,700\nHL.8.1 Safe Water Access\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,100,000\n$1,100,000\nHL.9.1 Promotion of Improved Nutrition Practices\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$350,000\n$350,000\nES.1.1 Pre-Primary Education\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$612,000\n$612,000\nEG.3.2 Agriculture Sector Capacity\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,050,000\n$1,050,000\nEG.10.2 Biodiversity\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$500,000\n$500,000\nTOTAL\n-\n$7,457,000\n$7,457,000\nPROGRAM DEVELOPMENT & OVERSIGHT BREAKOUT\nSPSD\nAccount\nMO\nProgram\nPO.1.1 Funding\nPO.2.1 Funding\nPO.3.1 Funding\nDR.2.3 Local Government and Decentralization\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$360,000\n-\nHL.2.1 Universal Access to TB Diagnosis and Treatment\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$320,000\n-\nHL.3.1 Diagnosis and Treatment with Artemisinin-Based Combination Therapies\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,515,300\n-\nHL.6.1 Birth Preparedness and Maternity Services\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$845,000\n-\nHL.7.1 Service Delivery\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$804,700\n-\nHL.8.1 Safe Water Access\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,100,000\n-\nHL.9.1 Promotion of Improved Nutrition Practices\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n-\n$350,000\n-\nES.1.1 Pre-Primary Education\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$612,000\n-\nEG.3.2 Agriculture Sector Capacity\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$1,050,000\n-\nEG.10.2 Biodiversity\nDA\nICS 08/15/2018 3.2\nNot Applicable\n-\n$500,000\n-\nTOTAL\n-\n$7,457,000\n-\n",FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
103601,TB Response\n,"\n103601\nImplementing Mechanism Name:\nTB Response\nPrime Partner:\nTo be Determined –Not in SAM, ADPP Mozambique\nAward Number:\n72065619CA000008\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$4,930,000\nStart Date:\n09/26/2019\nEnd Date:\n09/26/2024\nTotal Estimated Cost:\n$19,995,372\n","\nThe Local TB Response Activity will use FY 2021 funds to continue its work to improve active case detection, improve quality of care for drug sensitive and drug resistant TB, improve surveillance platform and programmatic response for drug resistant TB, and improve local partner capacity to implement the National TB Strategic Plan. Private Sector Engagement and collaboration is a core Agency priority and, for the first time in Mozambique, the private sector will be a core component of the Mission’s TB response. The local recipient will collaborate with the private sector and will support screening and referral of presumptive TB cases at private pharmacies. Additionally, the activity will use FY 2021 funds to work with up to six private sector companies to provide TB education and to train cough officers in the workplace, with potential to expand these activities to include screening and referral.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.2.1 Universal Access to TB Diagnosis and Treatment\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,435,160\n-\n$1,435,160\nHL.2.4 Programmatic Management of Multi Drug-Resistant TB (MDR-TB)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$717,580\n-\n$717,580\nHL.2.5 Treatment and Support Services\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$717,580\n-\n$717,580\nHL.2.9 TB Laboratory Strengthening\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$1,342,100\n-\n$1,342,100\nHL.2.11 Improved TB Infection Prevention and Control\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$717,580\n-\n$717,580\nTOTAL\n$4,930,000\n-\n$4,930,000\n",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
103604,Alcançar - Achieving Quality Health Services for Women and Children\n,"\n103604\nImplementing Mechanism Name:\nAlcançar - Achieving Quality Health Services for Women and Children\nPrime Partner:\nFamily Health International\nAward Number:\n72065619CA00004\nImplementing Mechanism Type:\nDirect Grant/Cooperative Agreement\nSource Agency:\nU.S. Agency for International Development\nImplementing Agency:\nU.S. Agency for International Development\nPlanned Funding:\n$13,284,000\nStart Date:\n04/30/2019\nEnd Date:\n04/29/2024\nTotal Estimated Cost:\n$39,000,000\n","\nWith FY 2021 funds, Alcançar will continue to establish Nampula as a model province for increasing utilization of high-quality, high-impact, gender-responsive, patient-centered Maternal Newborn Child Health (MNCH), Family Planning (FP), and Nutrition services by addressing the barriers to accessible, high-quality services. Alcançar will also provide technical support at the central level through the presence of three technical advisors embedded within the Ministry of Health to operationalize the Quality Improvement and Humanization Strategy and other interventions critical for maternal and child health. To prevent MNC mortality, Alcançar will strengthen linkages between communities and health facilities; improve delivery of MNCH services including immunization, FP, and nutrition in health facilities and communities; improve host government management of health resources and systems; and strengthen government capacity for quality improvement and respectful, patient-centered delivery of health services. The Mission plans to expand the activity to additional districts of Zambézia province. The activity will complement efforts of other USAID-supported activities in Nampula and Zambézia provinces, such as the Family Planning Project follow-on, the MOMENTUM Routine Immunization Transformation and Equity project, and government-to-government agreements with Nampula and Zambézia provinces through a synchronized approach that engages host government officials, health facilities, and health providers, as active participants.\n","\nSPSD\nAccount\nMO\nProgram\nDirect Funding\nPO  Total\nTotal Funding\nHL.6.1 Birth Preparedness and Maternity Services\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$2,350,000\n-\n$2,350,000\nHL.6.2 Treatment of Obstetric Complications and Disabilities\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$2,350,000\n-\n$2,350,000\nHL.6.3 Newborn Care and Treatment\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$2,350,000\n-\n$2,350,000\nHL.6.4 Immunization\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$500,000\n-\n$500,000\nHL.6.6 Treatment of Child Illness\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$2,424,000\n-\n$2,424,000\nHL.6.8 Cross-cutting Health Systems Strengthening\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$2,900,000\n-\n$2,900,000\nHL.7.4 Cross-cutting Health Systems Strengthening (FP/RH)\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$160,000\n-\n$160,000\nHL.9.2 Population-based Nutrition Service Delivery\nGHP-USAID\nICS 08/15/2018 3.2\nNot Applicable\n$250,000\n-\n$250,000\nTOTAL\n$13,284,000\n-\n$13,284,000\n",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
